distancia_inicio_m,distancia_fin_m,junta,lat,lon,altura_m,diametro,espesor,SMYS,longitud_tubo_m,tipo_costura
1081.061,1082.441,GW1020,3.777781083,-71.45661986,449.5,460,6.35,42000,12,
1082.441,1094.442,GW1030,3.777787405,-71.45663129,449,460,6.35,42000,12,
1094.442,1104.287,GW1040,3.777843184,-71.45673024,448.5,460,6.35,42000,12,
1104.287,1116.293,GW1050,3.777890096,-71.45681076,448,460,6.35,42000,12,
1116.293,1128.338,GW1060,3.777947305,-71.45690895,447.5,460,6.35,42000,12,
1128.338,1140.542,GW1070,3.778004701,-71.45700746,447,460,6.35,42000,12,
1140.542,1152.716,GW1080,3.778062857,-71.45710727,446.5,460,6.35,42000,12,
1152.716,1155.007,GW1090,3.778120965,-71.45720677,446,460,6.35,42000,12,
1155.007,1167.054,GW1100,3.778131915,-71.45722549,445.5,460,6.35,42000,12,
1167.054,1179.06,GW1110,3.778189491,-71.45732392,445,460,6.35,42000,12,
1179.06,1191.056,GW1120,3.778246869,-71.45742201,444.5,460,6.35,42000,12,
1191.056,1203.085,GW1130,3.778303859,-71.45752022,444,460,6.35,42000,12,
1203.085,1215.265,GW1140,3.778360262,-71.45761913,443.5,460,6.35,42000,12,
1215.265,1227.457,GW1150,3.778417203,-71.45771937,443,460,6.35,42000,12,
1227.457,1239.693,GW1160,3.778474201,-71.45781972,442.5,460,6.35,42000,12,
1239.693,1251.95,GW1170,3.778531405,-71.45792042,442,460,6.35,42000,12,
1251.95,1264.167,GW1180,3.778588713,-71.4580213,441.5,460,6.35,42000,12,
1264.167,1276.363,GW1190,3.778648418,-71.45812022,441,460,6.35,42000,12,
1276.363,1288.54,GW1200,3.778714774,-71.45821468,440.5,460,6.35,42000,12,
1288.54,1300.743,GW1210,3.778781065,-71.45830897,440,460,6.35,42000,12,
1300.743,1312.97,GW1220,3.778848018,-71.45840309,439.5,460,6.35,42000,12,
1312.97,1325.213,GW1230,3.778917692,-71.45849549,439,460,6.35,42000,12,
1325.213,1337.45,GW1240,3.778980161,-71.45859274,438.5,460,6.35,42000,12,
1337.45,1349.656,GW1250,3.779027699,-71.45869803,438,460,6.35,42000,12,
1349.656,1361.848,GW1260,3.779049064,-71.45881156,437.5,460,6.35,42000,12,
1361.848,1373.857,GW1270,3.779072111,-71.45892464,437,460,6.35,42000,12,
1373.857,1386.085,GW1280,3.779094814,-71.45903602,436.5,460,6.35,42000,12,
1386.085,1395.948,GW1290,3.779117467,-71.45914953,436,460,6.35,42000,12,
1395.948,1407.955,GW1300,3.779135445,-71.45924114,435.5,460,6.35,42000,12,
1407.955,1419.972,GW1310,3.779157331,-71.45935266,435,460,6.35,42000,12,
1419.972,1432.155,GW1320,3.779179236,-71.45946428,434.5,460,6.35,42000,12,
1432.155,1444.361,GW1330,3.779201444,-71.45957744,434,460,6.35,42000,12,
1444.361,1456.535,GW1340,3.779223693,-71.45969081,433.5,460,6.35,42000,12,
1456.535,1468.733,GW1350,3.779246164,-71.45980383,433,460,6.35,42000,12,
1468.733,1480.927,GW1360,3.779269188,-71.45991697,432.5,460,6.35,42000,12,
1480.927,1492.717,GW1370,3.779292294,-71.46003005,432,460,6.35,42000,12,
1492.717,1504.752,GW1380,3.779314633,-71.46013939,431.5,460,6.35,42000,12,
1504.752,1516.747,GW1390,3.779337437,-71.460251,431,460,6.35,42000,12,
1516.747,1528.746,GW1400,3.779360165,-71.46036224,430.5,460,6.35,42000,12,
1528.746,1540.752,GW1410,3.779382887,-71.46047352,430,460,6.35,42000,12,
1540.752,1552.024,GW1420,3.779405552,-71.46058488,429.5,460,6.35,42000,12,
1552.024,1564.051,GW1430,3.779426793,-71.46068944,429,460,6.35,42000,12,
1564.051,1576.042,GW1440,3.779449064,-71.46080108,428.5,460,6.35,42000,12,
1576.042,1587.998,GW1450,3.779471145,-71.46091241,428,460,6.35,42000,12,
1587.998,1589.529,GW1460,3.779493162,-71.46102342,427.5,460,6.35,42000,12,
1589.529,1601.582,GW1470,3.779495982,-71.46103763,427,460,6.35,42000,12,
1601.582,1613.602,GW1480,3.779518177,-71.46114954,426.5,460,6.35,42000,12,
1613.602,1625.537,GW1490,3.779540311,-71.46126114,426,460,6.35,42000,12,
1625.537,1636.17,GW1500,3.779562289,-71.46137195,425.5,460,6.35,42000,12,
1636.17,1648.194,GW1510,3.779581869,-71.46147067,425,460,6.35,42000,12,
1648.194,1650.933,GW1520,3.779603995,-71.46158231,424.5,460,6.35,42000,12,
1650.933,1660.874,GW1530,3.779609031,-71.46160774,424,460,6.35,42000,12,
1660.874,1672.871,GW1540,3.779627294,-71.46170005,423.5,460,6.35,42000,12,
1672.871,1684.92,GW1550,3.779649338,-71.46181145,423,460,6.35,42000,12,
1684.92,1696.963,GW1560,3.779671476,-71.46192333,422.5,460,6.35,42000,12,
1696.963,1709.007,GW1570,3.779693453,-71.46203518,422,460,6.35,42000,12,
1709.007,1721.055,GW1580,3.779714616,-71.4621472,421.5,460,6.35,42000,12,
1721.055,1733.033,GW1590,3.779735512,-71.46225931,421,460,6.35,42000,12,
1733.033,1745.013,GW1600,3.779756242,-71.46237077,420.5,460,6.35,42000,12,
1745.013,1757.049,GW1610,3.779777053,-71.46248224,420,460,6.35,42000,12,
1757.049,1769.09,GW1620,3.779797981,-71.46259423,419.5,460,6.35,42000,12,
1769.09,1781.096,GW1630,3.779818918,-71.46270626,419,460,6.35,42000,12,
1781.096,1793.07,GW1640,3.779839794,-71.46281797,418.5,460,6.35,42000,12,
1793.07,1805.043,GW1650,3.779860621,-71.46292938,418,460,6.35,42000,12,
1805.043,1807.073,GW1660,3.779881688,-71.46304074,417.5,460,6.35,42000,12,
1807.073,1819.087,GW1670,3.779885339,-71.4630596,417,460,6.35,42000,12,
1819.087,1831.116,GW1680,3.779906942,-71.46317125,416.5,460,6.35,42000,12,
