dist.del reg. [m],a sold.aguas arriba [m],no.de junta,long. de junta [m],esp. [mm],evento / comentario,tipo de sold.,Pos.horaria,pared int.,dim_o,d [%],h [%],Ovality ratio,h [arruga/ond.] [mm],largo [mm],ancho [mm],ERF B31G,Junta No. Full,latitud,longitud
5712.742,,5270,12.034,9.65,Soldadura,sin costura,,,,,,,,,,,5270,3.785772667,-71.49869333
5718.391,,,,,Soporte externo,,6:00,,,,,,,,,,5270,3.785751997,-71.49874265
5724.775,,5280,12.039,9.65,Soldadura,sin costura,,,,,,,,,,,5280,3.785728638,-71.49879838
5725.495,,,,,Soporte externo,,6:00,,,,,,,,,,5280,3.785726004,-71.49880466
5732.559,,,,,Soporte externo,,6:00,,,,,,,,,,5280,3.785700156,-71.49886633
5736.815,,5290,12.006,9.65,Soldadura,sin costura,,,,,,,,,,,5290,3.785684582,-71.49890348
5739.616,,,,,Soporte externo,,6:00,,,,,,,,,,5290,3.785674332,-71.49892793
5746.899,,,,,Soporte externo,,6:00,,,,,,,,,,5290,3.785647683,-71.49899151
5748.821,,5300,12.004,9.65,Soldadura,sin costura,,,,,,,,,,,5300,3.78564065,-71.49900829
5753.992,,,,,Soporte externo,,6:00,,,,,,,,,,5300,3.78562173,-71.49905343
5760.824,,5310,12.017,9.65,Soldadura,sin costura,,,,,,,,,,,5310,3.785596731,-71.49911307
5763.290,,,,,Soporte externo,,6:00,,,,,,,,,,5310,3.785587707,-71.4991346
5764.839,,,,,Soporte externo,,6:00,,,,,,,,,,5310,3.785582038,-71.49914812
5772.842,,5320,12.016,9.65,Soldadura,sin costura,,,,,,,,,,,5320,3.785552754,-71.49921798
5774.857,,,,,Soporte externo,,6:00,,,,,,,,,,5320,3.785545381,-71.49923557
5776.409,,,,,Soporte externo,,6:00,,,,,,,,,,5320,3.785539702,-71.49924912
5784.858,,5330,4.218,9.65,Soldadura,sin costura,,,,,,,,,,,5330,3.785508787,-71.49932287
5788.389,,,,,Soporte externo,,6:00,,,,,,,,,,5330,3.785495867,-71.4993537
5789.076,,5340,10.713,9.65,Soldadura,sin costura,,,,,,,,,,,5340,3.785493353,-71.4993597
5789.938,,,,,Soporte externo,,6:00,,,,,,,,,,5340,3.785490199,-71.49936722
5799.788,,5350,11.909,9.65,Soldadura,sin costura,,,,,,,,,,,5350,3.785454154,-71.49945321
5800.753,,,,,Soporte externo,,6:00,,,,,,,,,,5350,3.785450623,-71.49946163
5811.047,,,,,Soporte externo,,6:00,,,,,,,,,,5350,3.785412958,-71.49955149
5811.697,,5360,12.02,9.65,Soldadura,sin costura,,,,,,,,,,,5360,3.785410579,-71.49955717
5820.652,,,,,Soporte externo,,6:00,,,,,,,,,,5360,3.785377812,-71.49963534
5823.717,,5370,12.031,9.65,Soldadura,sin costura,,,,,,,,,,,5370,3.785366596,-71.4996621
5830.766,,,,,Soporte externo,,6:00,,,,,,,,,,5370,3.785340803,-71.49972363
5835.748,,5380,11.964,9.65,Soldadura,sin costura,,,,,,,,,,,5380,3.785322573,-71.49976712
5841.454,,,,,Soporte externo,,6:00,,,,,,,,,,5380,3.785301695,-71.49981693
5847.712,,5390,11.999,9.65,Soldadura,sin costura,,,,,,,,,,,5390,3.785277976,-71.4998712
5850.923,,,,,Soporte externo,,6:00,,,,,,,,,,5390,3.785265182,-71.49989877
5859.711,,5400,12.023,9.65,Soldadura,sin costura,,,,,,,,,,,5400,3.78522797,-71.49997313
5861.087,,,,,Soporte externo,,6:00,,,,,,,,,,5400,3.785221885,-71.49998465
5871.293,,,,,Soporte externo,,6:00,,,,,,,,,,5400,3.785173096,-71.50006798
5871.734,,5410,12.027,9.65,Soldadura,sin costura,,,,,,,,,,,5410,3.785170918,-71.50007154
5881.534,,,,,Soporte externo,,6:00,,,,,,,,,,5410,3.785122139,-71.50015044
5883.760,,5420,12.033,9.65,Soldadura,sin costura,,,,,,,,,,,5420,3.785110957,-71.5001683
5891.552,,,,,Soporte externo,,6:00,,,,,,,,,,5420,3.785070947,-71.50023026
5895.793,,5430,12.001,9.65,Soldadura,sin costura,,,,,,,,,,,5430,3.785049169,-71.50026398
5901.608,,,,,Soporte externo,,6:00,,,,,,,,,,5430,3.785019308,-71.50031022
5907.794,,5440,12.003,9.65,Soldadura,sin costura,,,,,,,,,,,5440,3.784987544,-71.50035941
5911.836,,,,,Soporte externo,,6:00,,,,,,,,,,5440,3.784966817,-71.50039156
5919.797,,5450,12.008,9.65,Soldadura,sin costura,,,,,,,,,,,5450,3.784927675,-71.50045595
5921.881,,,,,Soporte externo,,6:00,,,,,,,,,,5450,3.784917504,-71.50047286
5931.806,,5460,11.934,9.65,Soldadura,sin costura,,,,,,,,,,,5460,3.784871046,-71.50055441
5932.291,,,,,Soporte externo,,6:00,,,,,,,,,,5460,3.784869258,-71.50055864
5942.777,,,,,Soporte externo,,6:00,,,,,,,,,,5460,3.784834173,-71.50065126
5943.740,,5470,11.959,9.65,Soldadura,sin costura,,,,,,,,,,,5470,3.784831937,-71.5006601
5952.346,,,,,Soporte externo,,6:00,,,,,,,,,,5470,3.78481278,-71.50073926
5955.699,,5480,12.015,9.65,Soldadura,sin costura,,,,,,,,,,,5480,3.784806014,-71.50077027
5961.962,,,,,Soporte externo,,6:00,,,,,,,,,,5480,3.784794161,-71.50082835
5967.715,,5490,12.025,9.65,Soldadura,sin costura,,,,,,,,,,,5490,3.784784142,-71.50088187
5972.303,,,,,Soporte externo,,6:00,,,,,,,,,,5490,3.784776213,-71.50092457
5979.740,,5500,12.051,9.65,Soldadura,sin costura,,,,,,,,,,,5500,3.784763386,-71.50099378
5982.575,,,,,Soporte externo,,6:00,,,,,,,,,,5500,3.784758496,-71.50102017
5991.791,,5510,12.005,9.65,Soldadura,sin costura,,,,,,,,,,,5510,3.78474195,-71.50110582
5992.501,,,,,Soporte externo,,6:00,,,,,,,,,,5510,3.784740614,-71.5011124
6002.552,,,,,Soporte externo,,6:00,,,,,,,,,,5510,3.784721353,-71.50120557
6003.795,,5520,4.87,9.65,Soldadura,sin costura,,,,,,,,,,,5520,3.784718934,-71.50121708
6008.665,,5530,12.006,9.65,Soldadura,sin costura,,,,,,,,,,,5530,3.784709457,-71.5012622
6014.985,,,,,Soporte externo,,6:00,,,,,,,,,,5530,3.78469716,-71.50132074
6020.671,,5540,12.044,9.65,Soldadura,sin costura,,,,,,,,,,,5540,3.784686095,-71.50137341
6022.526,,,,,Soporte externo,,6:00,,,,,,,,,,5540,3.784682485,-71.50139059
6032.073,,,,,Soporte externo,,6:00,,,,,,,,,,5540,3.784663908,-71.50147903
6032.715,,5550,12.04,9.65,Soldadura,sin costura,,,,,,,,,,,5550,3.784662659,-71.50148498
6042.400,,,,,Soporte externo,,6:00,,,,,,,,,,5550,3.784643147,-71.50157455
6044.754,,5560,7.036,9.65,Soldadura,sin costura,,,,,,,,,,,5560,3.784638333,-71.5015963
6051.790,,5570,12.013,9.65,Soldadura,sin costura,,,,,,,,,,,5570,3.78462227,-71.50166093
6054.086,,,,,Soporte externo,,6:00,,,,,,,,,,5570,3.784617028,-71.50168203
6063.803,,5580,12.025,9.65,Soldadura,sin costura,,,,,,,,,,,5580,3.784578121,-71.50176535
6064.065,,,,,Soporte externo,,6:00,,,,,,,,,,5580,3.784577046,-71.50176759
6074.572,,,,,Soporte externo,,6:00,,,,,,,,,,5580,3.784533717,-71.5018571
6075.829,,5590,12,9.65,Soldadura,sin costura,,,,,,,,,,,5590,3.784528344,-71.50186772
6083.505,,,,,Soporte externo,,6:00,,,,,,,,,,5590,3.784495497,-71.50193253
6085.038,,,,,Soporte externo,,6:00,,,,,,,,,,5590,3.784488878,-71.50194544
6087.829,,5600,12.036,9.65,Soldadura,sin costura,,,,,,,,,,,5600,3.784476829,-71.50196895
6095.152,,,,,Soporte externo,,6:00,,,,,,,,,,5600,3.784444876,-71.50203046
6096.697,,,,,Soporte externo,,6:00,,,,,,,,,,5600,3.784438034,-71.50204338
6099.865,,5610,9.205,9.65,Soldadura,sin costura,,,,,,,,,,,5610,3.784424004,-71.50206989
6106.573,,,,,Soporte externo,,6:00,,,,,,,,,,5610,3.78440132,-71.50212902
6109.070,,5620,12,9.65,Soldadura,sin costura,,,,,,,,,,,5620,3.784393786,-71.50215142
6114.858,,,,,Soporte externo,,6:00,,,,,,,,,,5620,3.784377904,-71.50220384
6121.071,,5630,12.021,9.65,Soldadura,sin costura,,,,,,,,,,,5630,3.784361748,-71.50226039
6124.903,,,,,Soporte externo,,6:00,,,,,,,,,,5630,3.784351784,-71.50229526
6133.092,,5640,11.969,9.65,Soldadura,sin costura,,,,,,,,,,,5640,3.784331984,-71.50237017
6134.691,,,,,Soporte externo,,6:00,,,,,,,,,,5640,3.78432862,-71.50238493
6145.061,,5650,12.01,9.65,Soldadura,sin costura,,,,,,,,,,,5650,3.784316897,-71.50248192
6145.849,,,,,Soporte externo,,6:00,,,,,,,,,,5650,3.784316679,-71.50248937
6155.595,,,,,Soporte externo,,6:00,,,,,,,,,,5650,3.784315127,-71.50258161
6157.071,,5660,11.988,9.65,Soldadura,sin costura,,,,,,,,,,,5660,3.784314976,-71.50259558
6165.715,,,,,Soporte externo,,6:00,,,,,,,,,,5660,3.784316841,-71.50267737
6169.059,,5670,11.988,9.65,Soldadura,sin costura,,,,,,,,,,,5670,3.784317774,-71.502709
6175.934,,,,,Soporte externo,,6:00,,,,,,,,,,5670,3.784319692,-71.50277405
6181.048,,5680,12.003,9.65,Soldadura,sin costura,,,,,,,,,,,5680,3.784321119,-71.50282244
6186.015,,,,,Soporte externo,,6:00,,,,,,,,,,5680,3.784322504,-71.50286943
6193.050,,5690,11.991,9.65,Soldadura,sin costura,,,,,,,,,,,5690,3.784324466,-71.50293599
6196.074,,,,,Soporte externo,,6:00,,,,,,,,,,5690,3.78432531,-71.5029646
6205.041,,5700,12.031,9.65,Soldadura,sin costura,,,,,,,,,,,5700,3.784327328,-71.50304945
6206.479,,,,,Soporte externo,,6:00,,,,,,,,,,5700,3.78432764,-71.50306306
6216.015,,,,,Soporte externo,,6:00,,,,,,,,,,5700,3.784329611,-71.5031533
6217.072,,5710,12.019,9.65,Soldadura,sin costura,,,,,,,,,,,5710,3.78432983,-71.50316331
6226.251,,,,,Soporte externo,,6:00,,,,,,,,,,5710,3.784331727,-71.50325017
