distancia_inicio_m,distancia_fin_m,junta,lat,lon,altura_m,diametro,espesor,SMYS,longitud_tubo_m,tipo_costura
1537.66,1549.547,GW1430,5.414152778,-72.30810944,267.537,355.6,9.53,60000,11.887,ERW
1549.547,1561.599,GW1440,5.414136111,-72.308215,267.781,355.6,9.53,60000,12.052,ERW
1561.599,1573.807,GW1450,5.414119167,-72.30832222,268.07,355.6,9.53,60000,12.208,ERW
1573.807,1586.065,GW1460,5.414102222,-72.30843111,268.284,355.6,9.53,60000,12.258,ERW
1586.065,1598.225,GW1470,5.414084722,-72.30854,268.642,355.6,9.53,60000,12.16,ERW
1598.225,1610.426,GW1480,5.4140675,-72.30864806,269.046,355.6,9.53,60000,12.201,ERW
1610.426,1622.616,GW1490,5.414050278,-72.30875667,269.176,355.6,9.53,60000,12.19,ERW
1622.616,1634.854,GW1500,5.414033611,-72.30886528,269.418,355.6,9.53,60000,12.238,ERW
1634.854,1647.11,GW1510,5.414016667,-72.30897417,269.553,355.6,9.53,60000,12.256,ERW
1647.11,1659.304,GW1520,5.413999722,-72.30908333,269.572,355.6,9.53,60000,12.194,ERW
1659.304,1671.452,GW1530,5.4139825,-72.30919194,269.525,355.6,9.53,60000,12.148,ERW
1671.452,1683.581,GW1540,5.413965278,-72.3093,269.641,355.6,9.53,60000,12.129,ERW
1683.581,1695.817,GW1550,5.413948333,-72.30940778,269.808,355.6,9.53,60000,12.236,ERW
1695.817,1708.049,GW1560,5.413930833,-72.30951667,270.103,355.6,9.53,60000,12.232,ERW
1708.049,1720.229,GW1570,5.413913056,-72.30962556,270.494,355.6,9.53,60000,12.18,ERW
1720.229,1732.417,GW1580,5.413895833,-72.30973361,270.858,355.6,9.53,60000,12.188,ERW
1732.417,1744.579,GW1590,5.413878333,-72.30984194,271.486,355.6,9.53,60000,12.162,ERW
1744.579,1756.761,GW1600,5.413861111,-72.30995028,271.881,355.6,9.53,60000,12.182,ERW
1756.761,1768.926,GW1610,5.413844167,-72.31005861,272.247,355.6,9.53,60000,12.165,ERW
1768.926,1781.07,GW1620,5.413826944,-72.31016667,272.482,355.6,9.53,60000,12.144,ERW
1781.07,1792.505,GW1630,5.413809167,-72.31027472,272.697,355.6,9.53,60000,11.435,ERW
1792.505,1804.632,GW1640,5.413792778,-72.31037639,273.004,355.6,9.53,60000,12.127,ERW
1804.632,1816.294,GW1650,5.413775,-72.31048417,273.395,355.6,9.53,60000,11.662,ERW
1816.294,1828.393,GW1660,5.413758056,-72.31058778,273.564,355.6,9.53,60000,12.099,ERW
1828.393,1840.534,GW1670,5.413740556,-72.31069556,273.789,355.6,9.53,60000,12.141,ERW
1840.534,1852.654,GW1680,5.413722778,-72.31080333,274.044,355.6,9.53,60000,12.12,ERW
1852.654,1864.798,GW1690,5.413705278,-72.31091111,274.371,355.6,9.53,60000,12.144,ERW
1864.798,1876.969,GW1700,5.4136875,-72.31101917,274.617,355.6,9.53,60000,12.171,ERW
1876.969,1889.08,GW1710,5.413670556,-72.31112722,275.024,355.6,9.53,60000,12.111,ERW
1889.08,1899.307,GW1720,5.413653333,-72.311235,275.409,355.6,9.53,60000,10.227,ERW
1899.307,1909.506,GW1730,5.413639167,-72.31132611,275.524,355.6,9.53,60000,10.199,ERW
1909.506,1919.723,GW1740,5.413624444,-72.31141667,275.586,355.6,9.53,60000,10.217,ERW
1919.723,1931.881,GW1750,5.413609444,-72.31150778,275.668,355.6,9.53,60000,12.158,ERW
1931.881,1943.976,GW1760,5.413591944,-72.31161583,275.881,355.6,9.53,60000,12.095,ERW
1943.976,1956.118,GW1770,5.413574444,-72.31172333,275.979,355.6,9.53,60000,12.142,ERW
1956.118,1968.267,GW1780,5.413556944,-72.31183139,276.09,355.6,9.53,60000,12.149,ERW
1968.267,1980.406,GW1790,5.413539444,-72.31193944,276.145,355.6,9.53,60000,12.139,ERW
1980.406,1992.545,GW1800,5.413522222,-72.3120475,275.995,355.6,9.53,60000,12.139,ERW
1992.545,2004.673,GW1810,5.413505833,-72.31215556,275.996,355.6,9.53,60000,12.128,ERW
2004.673,2016.791,GW1820,5.413489167,-72.31226361,275.939,355.6,9.53,60000,12.118,ERW
2016.791,2028.925,GW1830,5.413472222,-72.31237139,275.8,355.6,9.53,60000,12.134,ERW
2028.925,2041.066,GW1840,5.413454722,-72.31247944,275.839,355.6,9.53,60000,12.141,ERW
2041.066,2053.168,GW1850,5.413436944,-72.31258722,275.776,355.6,9.53,60000,12.102,ERW
2053.168,2065.311,GW1860,5.413419444,-72.312695,275.609,355.6,9.53,60000,12.143,ERW
2065.311,2077.484,GW1870,5.413402222,-72.31280306,275.403,355.6,9.53,60000,12.173,ERW
2077.484,2089.196,GW1880,5.413384444,-72.31291111,275.157,355.6,9.53,60000,11.712,ERW
2089.196,2101.377,GW1890,5.413367778,-72.31301528,274.946,355.6,9.53,60000,12.181,ERW
2101.377,2113.537,GW1900,5.413350556,-72.31312361,274.765,355.6,9.53,60000,12.16,ERW
2113.537,2125.705,GW1910,5.413333333,-72.31323222,274.724,355.6,9.53,60000,12.168,ERW
2125.705,2137.895,GW1920,5.413316111,-72.31334083,274.662,355.6,9.53,60000,12.19,ERW
2137.895,2150.061,GW1930,5.413299167,-72.31345,274.58,355.6,9.53,60000,12.166,ERW
2150.061,2162.221,GW1940,5.413282222,-72.31355889,274.605,355.6,9.53,60000,12.16,ERW
2162.221,2174.372,GW1950,5.413264722,-72.3136675,274.678,355.6,9.53,60000,12.151,ERW
2174.372,2186.558,GW1960,5.413246944,-72.31377611,274.65,355.6,9.53,60000,12.186,ERW
2186.558,2198.642,GW1970,5.413229167,-72.313885,274.708,355.6,9.53,60000,12.084,ERW
